2025-04-21 19:20:07.116 | INFO     | electricitydemand.utils.log_utils:setup_logger:142 - 文本日志将写入：/home/ubuntu/ElectricityDemand/logs/2_run_preprocessing_20250421_192007.log
2025-04-21 19:20:07.117 | INFO     | electricitydemand.utils.log_utils:setup_logger:180 - 已拦截标准库 logging。
2025-04-21 19:20:07.117 | INFO     | electricitydemand.utils.log_utils:setup_logger:185 - 已设置全局异常处理钩子 (sys.excepthook)。
2025-04-21 19:20:07.117 | INFO     | electricitydemand.utils.log_utils:setup_logger:187 - Loguru 初始化完成。默认级别：INFO. 控制台：INFO. 文件：INFO.
2025-04-21 19:20:07.117 | WARNING  | electricitydemand.utils.log_utils:setup_logger:190 - Diagnose 和 Backtrace 已启用。注意：在生产环境中 'diagnose=True' 可能泄露敏感数据！
2025-04-21 19:20:07.117 | INFO     | __main__:<module>:49 - 项目根目录：/home/ubuntu/ElectricityDemand
2025-04-21 19:20:07.118 | INFO     | __main__:<module>:50 - 数据目录：/home/ubuntu/ElectricityDemand/data
2025-04-21 19:20:07.118 | INFO     | __main__:<module>:51 - 日志目录：/home/ubuntu/ElectricityDemand/logs
2025-04-21 19:20:07.118 | INFO     | __main__:<module>:59 - 小时 Demand 数据路径: /home/ubuntu/ElectricityDemand/data/demand_converted.parquet
2025-04-21 19:20:07.118 | INFO     | __main__:<module>:60 - Metadata 数据路径: /home/ubuntu/ElectricityDemand/data/metadata.parquet
2025-04-21 19:20:07.119 | INFO     | __main__:<module>:61 - Weather 数据路径: /home/ubuntu/ElectricityDemand/data/weather_converted.parquet
2025-04-21 19:20:07.119 | INFO     | __main__:<module>:62 - 合并后数据输出路径: /home/ubuntu/ElectricityDemand/data/merged_data.parquet
2025-04-21 19:20:07.349 | INFO     | __main__:<module>:588 - 运行数据合并...
2025-04-21 19:20:07.350 | INFO     | __main__:run_merge_data_spark:181 - =========================================
2025-04-21 19:20:07.350 | INFO     | __main__:run_merge_data_spark:182 - === 开始执行 数据合并脚本 (Spark) ===
2025-04-21 19:20:07.350 | INFO     | __main__:run_merge_data_spark:183 - =========================================
2025-04-21 19:20:07.350 | INFO     | __main__:run_merge_data_spark:189 - 创建 SparkSession...
2025-04-21 19:20:07.351 | INFO     | __main__:run_merge_data_spark:195 - 系统可用内存: 120.04GB, 设置驱动器内存: 60g, 执行器内存: 60g
2025-04-21 19:20:10.294 | INFO     | __main__:run_merge_data_spark:210 - SparkSession 创建成功。
2025-04-21 19:20:10.296 | INFO     | __main__:run_merge_data_spark:211 - Spark Web UI: http://10.206.16.9:4040
2025-04-21 19:20:10.296 | INFO     | __main__:run_merge_data_spark:214 - --- 步骤 1: 加载所需数据 (Spark) ---
2025-04-21 19:20:10.297 | INFO     | __main__:run_merge_data_spark:216 - 加载小时 Demand 数据: /home/ubuntu/ElectricityDemand/data/demand_converted.parquet
2025-04-21 19:20:12.955 | INFO     | __main__:run_merge_data_spark:218 - 小时 Demand 数据加载成功。
2025-04-21 19:20:12.956 | INFO     | __main__:run_merge_data_spark:221 - 加载 Metadata 数据: /home/ubuntu/ElectricityDemand/data/metadata.parquet
2025-04-21 19:20:13.135 | INFO     | __main__:run_merge_data_spark:231 - Metadata 数据加载成功。
2025-04-21 19:20:13.136 | INFO     | __main__:run_merge_data_spark:234 - 加载 Weather 数据: /home/ubuntu/ElectricityDemand/data/weather_converted.parquet
2025-04-21 19:20:13.252 | WARNING  | __main__:run_merge_data_spark:243 - Weather 'timestamp' is TimestampNTZType, converting to TimestampType...
2025-04-21 19:20:13.303 | INFO     | __main__:run_merge_data_spark:245 - Weather 'timestamp' converted to TimestampType.
2025-04-21 19:20:13.303 | INFO     | __main__:run_merge_data_spark:250 - Weather 数据加载成功。
2025-04-21 19:20:13.304 | INFO     | __main__:run_merge_data_spark:258 - --- 步骤 2: 合并 Demand, Metadata, 和 Weather 数据 ---
2025-04-21 19:20:13.304 | INFO     | __main__:run_merge_data_spark:261 - 合并 Demand 和 Metadata (left join on unique_id)...
2025-04-21 19:20:13.343 | INFO     | __main__:run_merge_data_spark:269 - Demand 和 Metadata 合并完成。
